iter	Passed	Remaining
1242	8577	25926
1243	8584	25918
1244	8590	25910
1245	8597	25902
1246	8604	25895
1247	8610	25887
1248	8617	25878
1249	8623	25871
1250	8630	25863
1251	8637	25857
1252	8643	25849
1253	8650	25840
1254	8657	25833
1255	8664	25827
1256	8670	25819
1257	8677	25811
1258	8683	25803
1259	8690	25795
1260	8697	25788
1261	8705	25786
1262	8713	25780
1263	8719	25773
1264	8728	25770
1265	8735	25764
1266	8743	25759
1267	8749	25752
1268	8756	25744
1269	8762	25736
1270	8769	25728
1271	8776	25720
1272	8782	25713
1273	8789	25707
1274	8796	25700
1275	8803	25693
1276	8810	25685
1277	8816	25677
1278	8823	25669
1279	8829	25661
1280	8836	25655
1281	8843	25648
1282	8850	25641
1283	8857	25634
1284	8864	25627
1285	8870	25619
1286	8877	25611
1287	8883	25603
1288	8890	25595
1289	8897	25588
1290	8903	25580
1291	8910	25573
1292	8917	25565
1293	8923	25557
1294	8930	25550
1295	8937	25542
1296	8944	25537
1297	8951	25529
1298	8958	25522
1299	8964	25515
1300	8971	25507
1301	8978	25501
1302	8984	25492
1303	8991	25484
1304	8997	25476
1305	9004	25469
1306	9010	25460
1307	9017	25453
1308	9023	25444
1309	9030	25436
1310	9037	25429
1311	9044	25423
1312	9050	25415
1313	9057	25407
1314	9063	25399
1315	9070	25391
1316	9076	25383
1317	9083	25375
1318	9089	25367
1319	9096	25359
1320	9102	25351
1321	9109	25343
1322	9116	25336
1323	9122	25328
1324	9129	25320
1325	9135	25312
1326	9142	25304
1327	9148	25295
1328	9155	25288
1329	9161	25281
1330	9168	25273
1331	9177	25273
1332	9184	25265
1333	9191	25259
1334	9197	25251
1335	9205	25246
1336	9212	25240
1337	9219	25233
1338	9226	25227
1339	9233	25219
1340	9245	25225
1341	9255	25228
1342	9262	25222
1343	9270	25218
1344	9277	25210
1345	9283	25203
1346	9290	25196
1347	9297	25188
1348	9304	25182
1349	9311	25174
1350	9317	25166
1351	9324	25158
1352	9330	25150
1353	9337	25142
1354	9343	25135
1355	9350	25127
1356	9357	25119
1357	9363	25112
1358	9370	25104
1359	9376	25096
1360	9383	25089
1361	9390	25082
1362	9396	25074
1363	9403	25067
1364	9410	25059
1365	9417	25052
1366	9423	25044
1367	9430	25036
1368	9436	25029
1369	9443	25021
1370	9450	25014
1371	9456	25007
1372	9463	24999
1373	9470	24991
1374	9476	24983
1375	9483	24976
1376	9490	24969
1377	9496	24961
1378	9503	24954
1379	9510	24946
1380	9516	24939
1381	9523	24931
1382	9529	24923
1383	9536	24915
1384	9543	24908
1385	9549	24901
1386	9556	24894
1387	9563	24887
1388	9570	24879
1389	9576	24872
1390	9583	24865
1391	9590	24858
1392	9597	24850
1393	9604	24844
1394	9610	24836
1395	9617	24830
1396	9624	24822
1397	9631	24815
1398	9637	24807
1399	9644	24799
1400	9650	24791
1401	9657	24783
1402	9663	24776
1403	9670	24768
1404	9676	24759
1405	9683	24752
1406	9689	24743
1407	9696	24736
1408	9702	24727
1409	9709	24721
1410	9717	24716
1411	9723	24709
1412	9730	24701
1413	9736	24692
1414	9743	24684
1415	9749	24676
1416	9755	24668
1417	9762	24661
1418	9769	24653
1419	9775	24646
1420	9782	24638
1421	9789	24633
1422	9796	24624
1423	9802	24616
1424	9808	24607
1425	9815	24600
1426	9822	24592
1427	9828	24586
1428	9835	24578
1429	9841	24570
1430	9848	24562
1431	9855	24554
1432	9862	24549
1433	9870	24546
1434	9880	24545
1435	9887	24539
1436	9896	24539
1437	9903	24531
1438	9911	24527
1439	9918	24520
1440	9925	24513
1441	9931	24505
1442	9938	24498
1443	9944	24489
1444	9951	24481
1445	9957	24473
1446	9963	24464
1447	9969	24456
1448	9976	24448
1449	9982	24440
1450	9989	24434
1451	9996	24426
1452	10002	24418
1453	10009	24410
1454	10015	24402
1455	10022	24395
1456	10029	24388
1457	10036	24381
1458	10043	24375
1459	10049	24367
1460	10056	24360
1461	10063	24352
1462	10069	24344
1463	10076	24336
1464	10082	24329
1465	10089	24322
1466	10096	24314
1467	10102	24306
1468	10108	24298
1469	10115	24290
1470	10123	24287
1471	10130	24279
1472	10137	24273
1473	10143	24265
1474	10150	24258
1475	10156	24250
1476	10163	24242
1477	10170	24236
